City,Lat,Lon,Maximum Temp,Humidity,Cloudiness,Wind,Country,Date
brae,60.3964,-1.353,51.71,83,46,4.65,GB,1623012143
khandyga,62.6667,135.6,55.22,56,100,5.01,RU,1623012173
shache,38.4167,77.2406,76.8,21,49,8.16,CN,1623012173
tanabe,33.7333,135.3667,66.79,90,100,5.3,JP,1623012174
santa catalina,9.3337,122.8637,77.72,82,99,0.51,PH,1623012174
vila velha,-20.3297,-40.2925,76.95,82,0,4.0,BR,1623012089
berlevag,70.8578,29.0864,41.0,70,0,3.44,NO,1623012175
kruisfontein,-34.0033,24.7314,61.88,21,2,8.72,ZA,1623012175
fort nelson,58.8053,-122.7002,54.99,71,75,6.91,CA,1623012176
apatity,67.5641,33.4031,44.71,65,3,4.5,RU,1623011936
cidreira,-30.1811,-50.2056,63.05,78,100,9.78,BR,1623012130
ihosy,-22.4,46.1167,58.48,91,87,16.4,MG,1623012176
navalmoral de la mata,39.8916,-5.5406,73.18,36,3,1.34,ES,1623012177
santa cecilia,-26.9608,-50.4269,54.32,99,100,2.71,BR,1623012177
houma,29.5958,-90.7195,79.0,86,75,9.22,US,1623012011
januaria,-15.4833,-44.3667,76.32,42,48,5.35,BR,1623012178
kampot,10.6167,104.1833,84.25,80,100,9.93,KH,1623012178
port-cartier,50.0334,-66.8654,57.42,53,93,10.27,CA,1623012179
kuusamo,65.9667,29.1833,55.44,67,0,4.61,FI,1623012179
mange,8.9167,-12.85,78.39,85,73,5.35,SL,1623012180
myitkyina,25.3833,97.4,74.25,96,100,0.81,MM,1623012180
balkhash,46.844,74.9804,62.64,40,23,16.04,KZ,1623012180
kampene,-3.6,26.6667,69.08,97,74,1.54,CD,1623012181
sao jose da coroa grande,-8.8978,-35.1478,76.5,84,37,9.28,BR,1623012038
sandomierz,50.6827,21.749,66.65,62,72,5.32,PL,1623012181
novyy urengoy,66.0833,76.6333,34.14,86,57,7.83,RU,1623012182
sozimskiy,59.7418,52.2482,55.45,81,13,3.62,RU,1623012182
faya,18.3851,42.4509,72.12,51,7,0.63,SA,1623012183
port-gentil,-0.7193,8.7815,80.56,83,75,10.36,GA,1623012183
mtambile,-5.3833,39.7,78.35,73,23,19.08,TZ,1623012184
cheney,47.4874,-117.5758,56.75,48,90,12.44,US,1623012184
huambo,-12.7761,15.7392,54.27,51,23,2.26,AO,1623012184
boa vista,2.8197,-60.6733,89.58,55,40,6.91,BR,1623012185
marzuq,14.4,46.4667,83.14,32,27,5.12,YE,1623012186
mao,39.8885,4.2658,64.96,77,0,4.61,ES,1623012186
cairns,-16.9167,145.7667,71.55,87,75,10.36,AU,1623012186
nara,34.6851,135.8049,69.98,76,100,1.21,JP,1623012187
chara,56.9064,118.2631,57.7,79,79,6.26,RU,1623012187
sturgeon falls,46.3646,-79.9326,85.96,57,100,14.27,CA,1623012187
westport,41.1415,-73.3579,97.29,43,1,1.01,US,1623012188
virginia beach,36.8529,-75.978,94.01,71,75,10.36,US,1623012172
altus,34.6381,-99.334,87.31,52,40,3.0,US,1623012188
batemans bay,-35.7167,150.1833,48.9,82,100,4.63,AU,1623012189
ancud,-41.8697,-73.8203,49.42,82,100,15.95,CL,1623012189
mana,5.6592,-53.7767,75.7,91,100,9.37,GF,1623012189
caconda,-13.7333,15.0667,55.81,45,74,1.3,AO,1623012190
san cristobal,7.7669,-72.225,71.78,91,100,3.15,VE,1623012190
srednekolymsk,67.45,153.6833,49.3,62,100,18.9,RU,1623012190
saint-francois,46.4154,3.9054,61.48,92,90,2.3,FR,1623012191
ulagan,50.6321,87.9563,37.85,94,14,1.97,RU,1623012191
sindor,62.8629,51.8905,51.76,56,80,5.3,RU,1623012192
comodoro rivadavia,-45.8667,-67.5,51.66,50,0,14.97,AR,1623012032
zhaotong,27.3167,103.7167,60.48,76,100,1.7,CN,1623012192
poum,-20.2333,164.0167,72.21,62,70,14.9,NC,1623012193
byron bay,-28.65,153.6167,50.88,90,13,6.96,AU,1623012076
aguimes,27.9054,-15.4461,66.83,68,40,24.16,ES,1623012193
kyenjojo,0.6328,30.6214,62.22,97,100,2.42,UG,1623012193
blagoyevo,63.3667,47.9167,49.89,54,79,7.47,RU,1623012194
wanning,18.8003,110.3967,78.51,92,31,3.67,CN,1623012194
japura,-0.3167,102.35,73.9,95,72,2.33,ID,1623012162
ponta do sol,32.6667,-17.1,67.12,69,1,3.51,PT,1623012043
waddan,29.1614,16.139,82.67,20,0,11.03,LY,1623012195
severodvinsk,64.5635,39.8302,39.31,63,3,10.56,RU,1623012196
mayo,38.8876,-76.5119,96.35,62,21,11.27,US,1623012196
mahibadhoo,3.7833,72.9667,83.12,74,76,16.2,MV,1623012197
daru,-9.0763,143.2092,77.16,88,99,16.98,PG,1623012197
saint paul,44.9444,-93.0933,93.56,38,20,5.01,US,1623012156
chiredzi,-21.05,31.6667,60.13,82,93,6.51,ZW,1623012198
coahuayana,18.7333,-103.6833,92.57,48,94,9.13,MX,1623012198
teya,60.3778,92.6267,42.31,96,100,2.77,RU,1623012199
cap malheureux,-19.9842,57.6142,75.69,84,11,11.74,MU,1623012152
vilyuysk,63.7553,121.6247,50.58,80,100,7.2,RU,1623012199
esfarayen,37.0765,57.5101,65.86,45,0,3.51,IR,1623012200
alofi,-19.0595,-169.9187,75.09,78,40,4.61,NU,1623012200
kargasok,59.0556,80.8572,51.03,92,100,9.35,RU,1623012200
kijang,35.2442,129.2139,64.13,76,1,5.91,KR,1623012126
suntar,62.1444,117.6319,49.64,67,95,10.85,RU,1623012201
krasnaya gorbatka,55.8703,41.7641,56.8,95,94,3.67,RU,1623012201
caravelas,-17.7125,-39.2481,72.91,84,4,4.81,BR,1623012112
garden city,42.3256,-83.331,91.2,40,20,4.0,US,1623012202
san antonio,29.4241,-98.4936,90.61,68,40,10.36,US,1623012062
mbekenyera,-10.0,38.9833,66.16,71,0,4.68,TZ,1623012203
broken hill,-31.95,141.4333,49.71,71,28,5.75,AU,1623012203
fabriano,43.3406,12.9073,69.76,96,100,3.04,IT,1623012203
shingu,33.7333,135.9833,67.5,85,100,4.47,JP,1623012204
general pico,-35.6566,-63.7568,50.59,51,88,8.28,AR,1623011930
boali,4.8005,18.1275,73.27,97,85,1.57,CF,1623012204
los llanos de aridane,28.6585,-17.9182,64.15,88,0,12.57,ES,1623012162
cacapava do sul,-30.5122,-53.4914,51.73,77,100,7.99,BR,1623012205
matagami,49.7502,-77.6328,84.31,37,1,9.22,CA,1623012205
tazovskiy,67.4667,78.7,32.38,82,98,10.65,RU,1623012206
el alto,-4.2714,-81.2147,73.06,73,39,18.07,PE,1623012206
taretan,19.3333,-101.9167,80.71,57,40,3.24,MX,1623012206
ust-tarka,55.5672,75.705,54.19,75,2,7.9,RU,1623012207
tam ky,15.5667,108.4833,80.58,88,100,4.09,VN,1623011934
inhambane,-23.865,35.3833,68.02,69,81,12.41,MZ,1623012207
malakal,9.5334,31.6605,78.48,65,97,2.95,SS,1623012207
lompoc,34.6391,-120.4579,76.78,78,90,7.0,US,1623012182
san patricio,28.017,-97.5169,93.61,66,9,16.37,US,1623012130
mahon,39.8885,4.2658,64.96,77,0,4.61,ES,1623012208
tocopilla,-22.092,-70.1979,67.66,64,59,8.95,CL,1623012054
jerantut,3.936,102.3626,72.34,98,99,1.43,MY,1623012209
akyab,20.15,92.9,82.94,84,100,6.58,MM,1623012210
bugsoc,9.7834,124.2712,74.59,93,100,2.3,PH,1623012210
hambantota,6.1241,81.1185,79.81,85,100,15.28,LK,1623012210
kolokani,13.5728,-8.0339,92.43,29,18,4.43,ML,1623012211
karratha,-20.7377,116.8463,74.73,61,91,8.88,AU,1623012211
honningsvag,70.9821,25.9704,40.75,75,0,8.05,NO,1623012212
tarko-sale,64.9225,77.785,34.0,86,33,1.01,RU,1623012212
floro,61.5996,5.0328,59.7,82,7,10.36,NO,1623012212
horta,38.5333,-28.6333,65.84,82,40,10.36,PT,1623012213
ixtapa,20.7,-105.2,87.22,66,40,13.8,MX,1623012213
kismayo,-0.3582,42.5454,77.23,83,56,15.19,SO,1623012214
waiuku,-37.25,174.75,59.25,98,100,12.46,NZ,1623012214
pamplona,42.8169,-1.6432,57.25,67,20,12.66,ES,1623012215
rumoi,43.9344,141.6428,56.14,88,99,5.59,JP,1623012215
oyotun,-6.8519,-79.3036,69.39,70,99,7.52,PE,1623012216
coquimbo,-29.9533,-71.3436,56.93,82,90,5.64,CL,1623011956
baruun-urt,46.6806,113.2792,61.97,43,100,7.92,MN,1623012216
flinders,-34.5833,150.8552,52.05,86,81,1.01,AU,1623012217
coos bay,43.3665,-124.2179,68.85,58,1,13.8,US,1623011997
muyezerskiy,63.9333,31.65,49.64,50,100,8.25,RU,1623012217
lengshuijiang,27.6881,111.4294,71.17,84,90,0.63,CN,1623012218
filingue,14.3521,3.3168,93.38,28,86,5.06,NE,1623012218
santa rosa,14.3122,121.1114,83.1,88,100,1.28,PH,1623012220
mountain home,43.133,-115.6912,70.93,18,20,2.8,US,1623012038
general roca,-39.0333,-67.5833,54.0,44,100,7.76,AR,1623012220
puri,19.8,85.85,88.38,83,83,20.4,IN,1623012220
naliya,23.2667,68.8333,84.22,70,2,13.29,IN,1623012221
krasnovishersk,60.4078,57.082,55.99,71,81,3.2,RU,1623012221
manaure,11.7751,-72.4445,85.62,62,100,21.81,CO,1623012222
iqaluit,63.7506,-68.5145,37.13,74,75,4.0,CA,1623012096
curaca,-8.9903,-39.9094,81.93,48,48,17.09,BR,1623012222
catemaco,18.4167,-95.1167,91.87,48,48,2.06,MX,1623012222
sao sepe,-30.1606,-53.5653,57.15,72,100,8.66,BR,1623012223
dali,25.7,100.1833,62.08,91,62,4.36,CN,1623012223
senno,59.5336,33.9167,57.4,85,51,4.52,RU,1623012224
enshi,30.3,109.4833,67.86,80,100,0.96,CN,1623012224
belmonte,-15.8631,-38.8828,77.5,86,10,7.38,BR,1623012172
mozhaysk,55.5019,36.0272,56.59,94,98,4.45,RU,1623012225
bitung,1.4451,125.1824,76.05,82,100,7.45,ID,1623012225
uray,60.1247,64.7758,55.92,78,48,6.46,RU,1623012226
kununurra,-15.7667,128.7333,55.38,76,33,4.61,AU,1623012226
mouila,-1.8685,11.0559,75.2,93,100,1.23,GA,1623012226
xiaoyi,34.6178,109.703,83.17,32,100,3.22,CN,1623012227
tautira,-17.7333,-149.15,86.02,73,48,11.74,PF,1623012227
tsabong,-26.0217,22.401,51.49,43,0,11.54,BW,1623012228
mezen,65.8522,44.24,35.65,75,12,6.53,RU,1623012228
maceio,-9.6658,-35.7353,80.04,73,20,8.43,BR,1623011957
agoo,16.0833,120.1,78.82,85,96,7.99,PH,1623012229
turukhansk,65.8167,87.9833,31.37,93,87,5.53,RU,1623012060
sistranda,63.7256,8.834,55.36,94,81,14.23,NO,1623012229
jacareacanga,-6.2222,-57.7528,82.49,66,100,2.08,BR,1623012112
ostersund,63.1792,14.6357,58.6,94,100,4.61,SE,1623012024
malinovskiy,61.1953,62.8397,48.88,59,46,5.21,RU,1623012230
pontes e lacerda,-15.2261,-59.3353,87.53,37,52,0.54,BR,1623012231
shelburne,44.0787,-80.2041,89.49,63,10,11.61,CA,1623012231
evensk,61.95,159.2333,41.94,87,100,8.03,RU,1623012231
alice springs,-23.7,133.8833,38.75,75,13,3.31,AU,1623012041
vila,42.0304,-8.1588,63.73,79,19,4.16,PT,1623012232
harwich,51.9419,1.2844,63.0,86,26,1.01,GB,1623012232
prado,-17.3411,-39.2208,73.22,86,5,6.02,BR,1623012046
tiarei,-17.5333,-149.3333,86.02,75,73,11.16,PF,1623012233
conway,35.0887,-92.4421,85.01,74,20,6.08,US,1623012234
bilibino,68.0546,166.4372,63.91,45,6,5.68,RU,1623012234
gornopravdinsk,60.05,69.9,51.3,95,97,6.53,RU,1623012235
bontang,0.1333,117.5,77.27,89,100,4.9,ID,1623012072
boca do acre,-8.7522,-67.3978,80.4,79,93,2.13,BR,1623012236
tuni,17.35,82.55,82.71,78,64,6.38,IN,1623012236
ketchikan,55.3422,-131.6461,52.27,87,90,17.27,US,1623012237
mbandaka,0.0487,18.2603,69.67,99,96,2.75,CD,1623012237
henties bay,-22.116,14.2845,75.85,45,0,2.42,NA,1623012136
itarema,-2.9248,-39.9167,78.22,85,37,9.57,BR,1623012076
eidsvag,62.7767,8.0668,55.45,93,79,2.46,NO,1623012238
skoghall,59.3232,13.4655,63.16,63,78,7.31,SE,1623012238
guerrero negro,27.9769,-114.0611,72.79,54,87,14.25,MX,1623012239
tomatlan,19.9333,-105.25,92.82,43,41,12.19,MX,1623012239
bendigo,-36.7667,144.2833,44.37,92,100,6.31,AU,1623012239
voh,-20.9667,164.7,68.68,61,95,4.88,NC,1623012240
mount isa,-20.7333,139.5,42.57,70,0,0.0,AU,1623012240
borogontsy,62.6683,131.1683,53.64,57,100,6.91,RU,1623012240
stromness,58.965,-3.296,52.05,77,92,0.76,GB,1623012241
aleksin,54.51,37.08,58.03,96,97,6.69,RU,1623012241
